ms_today,input_voltage,temp_mos_max,temp_mos_1,temp_mos_2,temp_mos_3,temp_motor,current_motor,current_in,d_axis_current,q_axis_current,erpm,duty_cycle,amp_hours_used,amp_hours_charged,watt_hours_used,watt_hours_charged,tachometer,tachometer_abs,encoder_position,fault_code,vesc_id,d_axis_voltage,q_axis_voltage,ms_today_setup,amp_hours_setup,amp_hours_charged_setup,watt_hours_setup,watt_hours_charged_setup,battery_level,battery_wh_tot,current_in_setup,current_motor_setup,speed_meters_per_sec,tacho_meters,tacho_abs_meters,num_vescs,ms_today_imu,roll,pitch,yaw,accX,accY,accZ,gyroX,gyroY,gyroZ,gnss_posTime,gnss_lat,gnss_lon,gnss_alt,gnss_gVel,gnss_vVel,gnss_hAcc,gnss_vAcc,
26230553,12.2,36,0,0,0,-75.2,0.08,0,-0.09,0.03,0,0,0.0973,0.0024,1.219,0.0307,283299,287089,270.013,0,89,0.015,0.012,26230538,0.0973,0.0024,1.219,0.0307,0.917,51.916,0,0.11,0,586.276,594.119,1,26230550,0.0137678,0.00679721,-2.37763,-0.00683594,-0.0146484,1.0415,0,-0.12207,-0.12207,-1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
26230575,12.2,36,0,0,0,-75.1,0.08,0,-0.08,0.03,0,0,0.0973,0.0024,1.219,0.0307,283299,287089,270.016,0,89,0.015,0.012,26230560,0.0973,0.0024,1.219,0.0307,0.917,51.916,0,0.12,0,586.276,594.119,1,26230569,0.0131533,0.00636838,-2.37765,-0.00634766,-0.0141602,1.05273,-0.0610352,-0.244141,0,-1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
26230597,12.2,36,0,0,0,-75.3,0.07,0,-0.07,0.02,0,0,0.0973,0.0024,1.219,0.0307,283299,287089,270.057,0,89,0.015,0.012,26230576,0.0973,0.0024,1.219,0.0307,0.917,51.916,0,0.05,0,586.276,594.119,1,26230589,0.0118391,0.00612902,-2.37765,-0.00976563,-0.0112305,1.04443,-0.366211,-0.305176,0.12207,-1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
26230619,12.3,36,0,0,0,-75.5,0.08,0,-0.08,0.03,0,0,0.0973,0.0024,1.219,0.0307,283299,287089,270.004,0,89,0.015,0.011,26230597,0.0973,0.0024,1.219,0.0307,0.917,51.916,0,0.06,0,586.276,594.119,1,26230611,0.0119099,0.007314,-2.37759,-0.00927734,-0.0117188,1.05029,-0.549316,-0.366211,-0.244141,-1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
26230637,12.2,36,0,0,0,-75.4,0.09,0,-0.09,0.03,0,0,0.0973,0.0024,1.219,0.0307,283299,287089,270,0,89,0.015,0.012,26230619,0.0973,0.0024,1.219,0.0307,0.917,51.916,0,0.13,0,586.276,594.119,1,26230632,0.0123148,0.00777802,-2.37757,-0.00976563,-0.00878906,1.0376,-0.305176,-0.244141,-0.183105,-1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
26230657,12.2,36,0,0,0,-75.7,0.08,0,-0.08,0.03,0,0,0.0973,0.0024,1.219,0.0307,283299,287089,270.014,0,89,0.015,0.012,26230639,0.0973,0.0024,1.219,0.0307,0.917,51.916,0,0.14,0,586.276,594.119,1,26230653,0.0118249,0.0077007,-2.37755,-0.00878906,-0.0117188,1.03955,-0.183105,-0.12207,-0.12207,-1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
26230678,12.2,36,0,0,0,-75.7,0.09,0,-0.09,0.03,0,0,0.0973,0.0024,1.219,0.0307,283299,287089,270.022,0,89,0.015,0.012,26230659,0.0973,0.0024,1.219,0.0307,0.917,51.916,0,0.1,0,586.276,594.119,1,26230673,0.0118218,0.00631114,-2.3775,-0.00488281,-0.0141602,1.04834,0,-0.12207,0,-1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
26230698,12.2,36,0,0,0,-75.5,0.09,0,-0.08,0.03,0,0,0.0973,0.0024,1.219,0.0307,283299,287089,270,0,89,0.015,0.012,26230680,0.0973,0.0024,1.219,0.0307,0.917,51.916,0,0.16,0,586.276,594.119,1,26230697,0.0110503,0.00674613,-2.37746,-0.00927734,-0.0126953,1.05225,-0.12207,-0.427246,-0.0610352,-1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
26230719,12.3,36,0,0,0,-75.3,0.07,0,-0.07,0.02,0,0,0.0973,0.0024,1.219,0.0307,283299,287089,270.004,0,89,0.015,0.012,26230700,0.0973,0.0024,1.219,0.0307,0.917,51.916,0,0.11,0,586.276,594.119,1,26230719,0.0089784,0.00628031,-2.37746,-0.00878906,-0.00634766,1.04199,-0.427246,-0.244141,-0.12207,-1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
26230757,12.2,36,0,0,0,-75.1,0.08,0,-0.08,0.03,0,0,0.0973,0.0024,1.219,0.0307,283299,287089,270,0,89,0.015,0.012,26230722,0.0973,0.0024,1.219,0.0307,0.917,51.916,0,0.07,0,586.276,594.119,1,26230737,0.0104304,0.00631829,-2.37746,-0.00585938,-0.00878906,1.04004,-0.305176,0.0610352,0.0610352,-1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
